agent,elo,as_p1,as_p2,overall
Net-mcts800,1805.4,0.8259,0.8037,0.8148
AB-d10,1707.6,0.7444,0.6833,0.7139
AB-d8,1706.8,0.7389,0.6870,0.7130
MCTSgrdy800,1616.6,0.6407,0.5759,0.6083
AB-d6,1597.2,0.5815,0.5889,0.5852
MCTSrand800,1558.3,0.5463,0.5315,0.5389
AB-d4,1532.4,0.5593,0.4574,0.5083
Net-raw,1276.3,0.2870,0.2056,0.2463
Greedy,1249.2,0.2556,0.1926,0.2241
Random,950.3,0.0704,0.0241,0.0472
